repo_id,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared
0,0.2670662670662672,-0.011603780834550098,0.15023438100361172,0.09487790677394069,0.543357601260933,0.5695804712893536,0.018179679089142975
1,-0.012811037201281253,-0.016459150605492093,0.34249625713040366,0.8952064902966741,0.17835822265260678,0.048678656370928206,0.19525469037385912
2,0.15208050655811844,0.0012002922450683289,0.2965417666910205,0.17600711065432262,0.9292608155330133,0.12379513846647634,0.35131772310193665
3,0.4755754263950988,0.02594673086476361,0.009222107582763206,1.2344724355825068e-05,0.019985149769182895,0.9490688502781485,0.5592453471353918
4,0.47099980698706834,0.048372010155449605,-0.24925393078259322,5.119006427097082e-06,5.1742790680808486e-05,0.07345894821368952,0.7076556556289086
5,0.444214876033058,-0.0004238186056368543,0.03286360104541941,0.0037872149359888707,0.9800976220344753,0.8889031884293135,0.0027577633916249233
6,0.271801346801347,0.00819735819735818,-0.1681213847880516,0.011716022207684846,0.505895167592987,0.32743012035819263,0.05208976617376371
7,0.2972892992424244,0.008477199883449867,-0.18549375971250986,0.011400024536565065,0.527327354356189,0.32122768055398027,0.05658261247081675
8,-0.010476667501461017,-0.023155907453428142,0.35362846519871327,0.9164657222448727,0.07024580150479022,0.047603571759094174,0.17501186889759968
9,0.5365299334811533,0.004494286201603243,-0.4222241173460688,7.310014710607636e-07,0.6410303729014822,0.004201427670282058,0.6019305192823707
10,0.10359402268760913,0.0015606121627063996,-0.11002315747080155,0.30877847209963777,0.8995723534192417,0.5224369864313076,0.05353334282451061
11,0.21425461511668423,-0.013604211880073974,0.030108780108779987,0.055000905090102414,0.30617969389750166,0.8684487350513013,0.13617399800604124
12,0.19591163026917213,-0.004023909051842044,0.076219869515959,0.09570784808338026,0.7737089740328122,0.6942837251253144,0.008058053185455272
13,0.4284398034398037,-0.0037327537327537796,-0.011513261513261597,0.007146449357702747,0.8348963296072189,0.9629447890038086,0.012095848786784269
14,0.4736652236652237,0.011821511821511754,-0.054556554556554226,0.005823478817027565,0.540212291740453,0.8375696519404318,0.03807812674311428
15,0.22837015009912212,-0.0038069407228286008,-0.04543820665315984,0.03153104369322739,0.757940945090095,0.7904130918604826,0.05699564523975731
16,0.08722643097643103,-0.015070577570577583,0.10600125183458509,0.3749558581156317,0.2168625323865405,0.524737211895564,0.10485218899143578
17,0.5841074983410751,0.015185544382624596,-0.09950147176424523,0.00012669463053845693,0.3334463151044913,0.6442156855782155,0.07039686135767653
18,0.3091553836234688,-0.03072459455438184,0.12046818429797174,0.00977724660214431,0.03210127515019667,0.5226616772938124,0.37285591404066276
19,0.1440746753246752,-0.02179070929070934,0.1335123210123213,0.21296084206212612,0.12921699035844644,0.49226212473406816,0.16992421521917267
20,0.30184194890077265,0.01878513643219524,-0.30712098359157186,0.002935622623237691,0.10353002067264419,0.05747025253138173,0.16154056678324258
21,0.6295093795093799,-0.0017482517482518122,-0.1377511377511379,0.0003080228508774838,0.9233708538402771,0.5853889593171432,0.07278498461842098
22,0.33010249554367205,0.025709584533113894,0.14818433200786163,0.0014613716122570855,0.030683660536812787,0.34569393589747743,0.6607996039116932
23,0.33736213727379816,-0.04509006894165911,0.2233540899618639,0.00058441428173228,0.0002531718097909316,0.13084306768128373,0.652444796610109
24,0.39062998405103694,-0.013047478836952559,0.02937676358728969,0.0033100076969829573,0.37859557173189307,0.8850925988569905,0.10341065279403616
25,0.13934343434343438,0.008104118104118088,0.07349132349132348,0.16563711958912866,0.5045025364757266,0.6610046244523862,0.1846385041702845
26,0.07404931669637546,-0.01789387083504734,0.38139311668723447,0.4432749531171942,0.13970755954064204,0.02783697695275673,0.24036333148116884
27,-0.12605694958636157,-0.020630952757649604,0.3596880746202015,0.17405968745113853,0.07521165338964353,0.028187589494462515,0.21274957056507793
