repo_id,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared
0,0.21877481180842692,0.015617657715956648,-0.2298745094064693,0.03615528859901418,0.2080297274157246,0.18178655874985744,0.08492981549922107
1,0.15590768214808778,0.0059064003010288225,-0.003817237438563034,0.1573226059172494,0.6561605779995934,0.9833781111257802,0.03473106501776402
2,-0.012288953309311195,-0.0243153397794798,0.21555097798302436,0.9196639013055223,0.11550818573791602,0.3050584639176111,0.13407925916065533
3,0.39772515252123297,0.03343218632018574,-0.43316010468035865,0.0004779822039578804,0.010234505286301645,0.015307075273522968,0.2786239294918238
4,0.4863682095292915,-0.032625709834944894,-0.00793098082668918,0.00026883045638193096,0.02672567329620739,0.9670267671876749,0.5283616844216185
5,0.3361334038421287,-0.010403437118859025,-0.19663929905382502,0.011673717444495607,0.49467514830904813,0.3534823918252157,0.32604408305607524
6,0.16421135850445584,0.02357746784866614,0.12050708284940953,0.2092965237880487,0.14549208348213763,0.5826607258911334,0.4373595713204891
7,0.30052173719574615,0.04521491218285991,-0.24183938694800006,0.01143496707788142,0.0027633128828966303,0.20446886028974753,0.513390214427513
8,0.2805944055944057,0.008961867864201448,-0.055612134912048396,0.0437902665059286,0.5834422213788605,0.8052879404807288,0.02455876044821914
9,0.00036827409536556444,-0.04122921195232338,0.37609879547436614,0.9974964364407992,0.0087648206830857,0.07068876597964065,0.3182238238402745
10,0.647328772806541,0.007256573921117115,-0.25002300894134255,2.1662748319939607e-05,0.6255956574400472,0.23140908386589867,0.11909987940021116
11,0.5974142211597409,0.01790056138954714,-0.5460375376695339,9.662679882581484e-06,0.17350752441511216,0.005370314218234467,0.4361345016900845
12,0.31842961140507575,-0.010954104370234639,-0.004169874927517012,0.0044206880352358775,0.3826941245908556,0.9806721394183193,0.13762961896459858
13,0.19447797052432522,0.003468965777696638,-0.19181760833426004,0.058399153272748236,0.7744666128143594,0.2593445785617803,0.13925015626021686
14,0.4500794275824253,0.012633877528786933,-0.2331208613575475,0.008707042867902864,0.516374562615677,0.3889387941017137,0.03741406818155102
