actor_id,login,name,email,bio,tag,Number of followers,Number of following,tfidf_similarity,Number of Activity,Number of Issue,Number of Pull Request,Number of Repository,Number of Commit,Number of Active day,Periodicity of Activities,Number of Connection Account,Median Response Time,label
45432694,0,0,0,0,1,0,0,0.0,3646,1134,1242,1260,10,313,0.156598662,46,64698.71429,Bot
22427965,1,0,0,0,0,126,1,0.680340903,884,388,0,0,496,173,0.156559373,1,13059.4303,Bot
23385942,0,0,0,0,0,4,0,0.500399468,351,331,20,0,0,85,0.156070412,92,24370.9375,Bot
31236930,0,0,0,0,0,2,0,0.020451894,77,15,3,20,19,44,0.154376132,2,13059.4303,Bot
29302218,0,0,0,0,0,14,0,0.609969623,1392,1334,58,0,0,311,0.154329814,162,18109.8125,Bot
58338325,0,0,0,0,1,0,0,0.0,3171,77,204,863,2027,117,0.152335563,7,5251.586207,Bot
76178356,0,0,0,0,0,3,0,0.272280197,12694,4230,3036,3170,2194,291,0.151822164,89,45776.0,Bot
502938,0,0,0,0,0,44,0,0.064920387,142,94,2,3,43,64,0.151586472,6,1394.807692,Bot
37828993,1,0,0,0,0,3,0,0.0,755,8,3,6,732,90,0.151165642,1,13059.4303,Bot
71382382,1,0,0,0,1,0,0,0.095214225,6651,2164,0,2223,354,314,0.15088627,21,385828.5098,Bot
47979223,0,0,0,1,0,31,0,0.182183191,273,255,2,3,3,164,0.150875641,121,2003.218182,Bot
46447321,0,0,0,0,1,0,0,0.400881975,67830,15614,13036,12875,26305,359,0.150733744,491,106648.8,Bot
53036503,0,0,0,0,1,0,0,0.0,10243,4966,317,4636,324,356,0.150391213,53,85027.0,Bot
12843093,0,0,0,0,0,2,0,0.0,12060,269,4226,4246,3319,271,0.149806087,19,28314.12963,Bot
80958034,1,0,0,0,1,0,0,0.088946805,856,279,142,136,299,93,0.149276731,24,1426.377551,Bot
10880445,1,0,0,0,0,1,0,0.77289912,4232,383,594,1078,1660,273,0.148951246,11,19941.10714,Bot
16028288,0,0,0,0,0,0,0,0.479343805,2135,2135,0,0,0,261,0.148813721,23,27865.0,Bot
23041403,0,0,0,1,0,111,0,0.709257819,2091,2082,3,3,3,351,0.148669964,94,35206.0,Bot
37223003,0,0,0,0,1,0,0,0.151867916,4017,1696,1114,1207,0,233,0.148235441,40,69234.5,Bot
16035968,1,0,0,0,0,6,0,0.0,68,54,0,7,0,47,0.148005443,3,22354.83333,Bot
10605095,0,0,0,0,0,5,0,0.066286707,3166,2400,198,271,218,293,0.147844703,20,13059.4303,Bot
40661319,1,0,0,1,0,0,0,0.0,6111,3671,0,705,1034,200,0.147619733,37,132380.2222,Bot
44246292,0,0,0,0,1,0,0,0.05665435,8069,7047,305,367,350,308,0.146592575,46,259730.5,Bot
40872210,0,0,0,0,0,0,0,0.001118214,3742,1987,505,842,408,299,0.145669177,11,13059.4303,Bot
35031835,1,0,0,0,0,7,0,0.32161815,5383,2304,497,453,1925,164,0.14521505,23,53627.2,Bot
48216820,1,0,0,0,1,0,0,0.156458259,253,253,0,0,0,42,0.14502262,23,1114.088889,Bot
28388158,0,0,0,0,0,10,0,0.672721246,1371,1298,73,0,0,302,0.144886738,169,26904.18182,Bot
29302252,0,0,0,0,0,7,0,0.628783272,1442,1371,71,0,0,312,0.144093178,171,48248.09524,Bot
50673670,0,0,0,0,1,0,0,0.523354316,132468,85761,11322,19650,15735,354,0.143901325,199,13059.4303,Bot
63091332,0,0,0,0,1,0,0,0.0,8445,8445,0,0,0,47,0.143489738,77,0.0,Bot
48861364,1,0,0,0,0,1,0,0.560313583,568,216,168,184,0,62,0.141948324,3,77588.79167,Bot
7127206,1,0,0,0,0,17,0,0.0,8610,276,6,723,7131,302,0.141520929,4,27995.58333,Bot
33307416,0,0,0,0,1,0,0,0.473594386,1537,1537,0,0,0,253,0.141135115,39,187.9827586,Bot
15654899,1,0,0,0,0,1,0,0.827287271,125,30,1,40,54,46,0.140826612,3,845.4,Bot
16780864,1,1,0,1,0,33,0,0.051294318,3353,133,2885,0,335,321,0.140118396,15,1.0,Bot
25496890,0,0,0,1,0,14,0,0.208457872,3005,2725,0,0,0,335,0.139739305,80,113242.16,Bot
24401983,1,0,0,0,0,3,0,0.488958185,5157,5157,0,0,0,227,0.138791937,15,205183.7,Bot
51718346,0,0,0,0,0,2,0,0.0,3879,721,0,1135,882,265,0.136914998,4,62284.33333,Bot
38805255,1,0,0,1,0,1,0,0.208688323,18,13,0,0,5,8,0.136363636,1,49277.0,Bot
68915948,0,0,0,0,0,1,0,0.536110624,2668,2668,0,0,0,254,0.135902105,32,6003.409091,Bot
29302139,0,0,0,0,0,5,0,0.686120506,1619,1550,69,0,0,315,0.135734384,184,53070.66667,Bot
66574558,0,0,0,0,1,0,0,0.031468012,515,515,0,0,0,249,0.1356284,97,11285.0,Bot
33356041,0,0,0,0,0,6,0,0.004857983,4235,756,230,843,1802,212,0.135605664,8,45252.37037,Bot
6166343,0,0,0,0,0,117,0,0.665451406,772,444,118,18,190,255,0.133676804,26,101781.4615,Bot
26447601,0,0,0,0,0,1,0,0.0,61440,6,13793,28618,18902,139,0.133138568,18,13059.4303,Bot
44874361,0,0,0,1,0,0,0,0.563270967,360,98,262,0,0,68,0.132221782,11,17056.81579,Bot
45043797,0,0,0,1,0,14,0,0.732706897,1701,1626,0,0,75,338,0.131748434,272,138619.9111,Bot
34688948,1,0,0,0,0,0,0,0.908033106,4241,226,1,419,3254,249,0.131564743,6,15903.53846,Bot
33030338,1,0,0,0,0,6,0,0.852619632,2062,175,0,530,826,224,0.129845314,6,25418.63636,Bot
82752207,1,0,0,0,1,0,0,0.0,4976,82,2254,1323,1317,216,0.129633902,8,5322.57377,Bot
38494943,1,1,0,0,0,0,0,0.209157556,39407,570,13297,22253,3287,211,0.12944877,51,0.0,Bot
30906710,0,0,0,0,0,0,0,0.044563219,2699,964,630,106,943,272,0.128845314,16,56161.25714,Bot
38047864,0,0,0,0,1,0,0,0.0,14161,3197,6359,2320,2285,321,0.128837234,22,13059.4303,Bot
61464155,1,0,0,1,0,2,0,0.081760373,8253,54,234,240,7725,317,0.12850039,7,12634.66667,Bot
58734500,0,0,0,0,1,0,0,0.238661466,690,690,0,0,0,215,0.128073363,39,64788.26316,Bot
46783487,0,0,0,0,1,0,0,0.178473378,1118,320,798,0,0,229,0.127656842,24,13059.4303,Bot
43581769,1,0,0,0,0,4,1,0.030851265,2127,1462,87,20,558,257,0.125675948,22,53798.2,Bot
59518230,0,0,0,0,1,0,0,0.0,3537,3537,0,0,0,354,0.125404821,139,13059.4303,Bot
43047562,0,0,0,1,0,107,0,0.0,395712,30699,130829,136616,97568,360,0.124890972,613,99580.0,Bot
24485218,0,0,0,0,1,0,0,0.216847456,571,570,1,0,0,207,0.124752488,65,71229.9375,Bot
45107089,1,0,0,0,0,2,0,0.46160559,167,24,23,0,120,83,0.124113988,7,215.1818182,Bot
1302037,0,0,0,0,0,88,1,0.08960546,253,93,36,27,96,109,0.123994108,4,2533.717391,Bot
29423451,0,0,0,0,0,6,0,0.644582548,1502,1439,63,0,0,314,0.12327184,171,30810.75,Bot
55011449,1,0,0,0,0,2,0,0.367839163,16538,16537,0,1,0,14,0.123119377,5,13059.4303,Bot
23387312,0,0,0,0,0,2,0,0.653022381,274,265,9,0,0,87,0.122735699,91,38308.95,Bot
71848315,0,0,0,0,0,0,0,0.0,7495,196,199,541,6559,212,0.120430893,10,1222.333333,Bot
58339389,0,0,0,0,1,0,0,0.955828873,5856,84,507,1735,3530,140,0.119515447,4,10408.96,Bot
44891214,0,0,0,0,0,0,0,0.240825044,395,395,0,0,0,193,0.118514276,32,3245.375,Bot
24582011,0,0,0,0,0,35,0,0.0,273,1,1,1,250,223,0.118079035,4,5.0,Bot
29791463,0,0,0,0,0,205,0,0.0,11337,1662,2420,4872,2383,357,0.11784596,124,44852.0,Bot
56973160,1,0,0,0,0,1,0,0.846647354,9165,5527,0,1216,1207,280,0.117723368,37,13059.4303,Bot
23072004,0,0,0,1,0,1,0,0.175103361,11749,11392,25,24,308,340,0.11411877,10,13059.4303,Bot
32282838,1,0,0,0,0,4,0,0.270253257,9781,7741,1004,46,989,325,0.11408129,61,157986.1111,Bot
88147183,0,1,0,0,0,0,0,0.554584003,138,110,26,2,0,29,0.112885219,18,46735.0,Bot
28388209,0,0,0,0,0,12,0,0.645128125,1400,1337,63,0,0,308,0.112528237,180,33559.3,Bot
37111791,0,0,0,0,0,0,0,0.0,673,1,80,3,589,195,0.110544811,3,13059.4303,Bot
16011037,1,0,0,0,0,36,0,0.115177314,2115,69,2046,0,0,258,0.108851648,16,248.5,Bot
16239342,1,0,0,0,0,193,0,0.0,464399,143912,320487,0,0,361,0.108281746,949,13059.4303,Bot
38131342,0,0,0,0,0,7,0,0.826728338,463,247,1,28,77,121,0.108199936,9,94971.61111,Bot
42386326,0,0,0,0,1,0,0,0.316655332,2562,2562,0,0,0,250,0.105610925,58,72503.0,Bot
39771996,1,0,0,0,0,5,0,0.100838943,4385,3517,399,101,320,300,0.105431106,33,129764.2373,Bot
25712555,0,0,0,1,0,2,0,0.0,7903,1,1445,3548,1453,327,0.104860076,13,13059.4303,Bot
61872893,0,0,0,0,0,0,0,0.224615529,22976,58,3019,2950,16933,158,0.104580406,34,192.4545455,Bot
14700466,0,0,0,0,0,7,5,0.514278223,148,131,1,8,8,101,0.104232492,2,4556.0,Bot
55468070,0,0,0,0,1,0,0,0.68747897,3223,3223,0,0,0,294,0.103957662,205,85413.25,Bot
74993032,0,0,0,0,1,0,0,0.725805382,10110,10110,0,0,0,346,0.101472928,360,13059.4303,Bot
44008113,1,0,0,0,1,0,0,0.095050325,9216,4473,0,1598,1628,276,0.101355856,15,159506.0,Bot
35378779,1,0,0,0,0,0,0,0.334172727,482,304,1,1,171,210,0.101081527,4,45696.84615,Bot
34151961,0,0,0,0,0,11,0,0.017012183,854,122,167,278,202,104,0.098033179,6,15453.74359,Bot
23387048,0,0,0,0,0,3,0,0.644174316,301,289,12,0,0,82,0.097629239,83,29595.0,Bot
76997679,0,0,0,0,0,0,0,0.0,163435,1,0,19,163415,258,0.097102901,1,17180.0,Bot
33560951,0,0,0,0,0,1,0,0.145262384,816,301,171,154,190,147,0.096939054,7,2485.325581,Bot
19686786,0,0,0,0,0,1,0,0.092614233,661,616,0,0,45,203,0.095856251,6,180544.9412,Bot
58979018,1,0,0,0,0,2,0,0.826728338,1772,1144,13,128,364,162,0.094770964,11,82573.42857,Bot
47528927,1,0,0,0,0,0,0,0.6855243,64,49,1,3,5,43,0.09375,7,864.0,Bot
18728550,0,0,0,0,0,0,0,0.017300103,109,5,1,3,100,54,0.093092231,3,4009.333333,Bot
7523732,0,0,0,0,0,9,0,0.162861441,2107,1468,0,179,285,234,0.091191574,20,200539.4286,Bot
12826709,1,0,0,0,0,1,0,0.0,425,66,0,5,348,348,0.090330344,5,78625.64407,Bot
28022913,1,0,0,0,0,1,0,0.0,180,1,45,79,37,28,0.087732133,4,24192.0,Bot
34088196,1,0,0,0,0,17,0,0.572882483,4839,399,0,767,3673,285,0.084316934,4,4284.921348,Bot
43846136,1,0,0,0,0,1,0,0.895899995,726,18,0,22,683,222,0.084068431,1,13059.4303,Bot
64863578,0,0,0,0,0,0,0,0.638679303,709,144,285,140,140,29,0.083542293,11,1376.84,Bot
6702118,0,0,0,0,0,5,0,0.237029504,9633,3836,539,1,5257,332,0.083387167,20,66323.11765,Bot
60014357,1,0,0,0,0,0,0,0.384013453,1618,1618,0,0,0,257,0.08332168,38,41583.11538,Bot
