repo_id,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared
0,1.0043684682751182,0.021525646299401856,-0.41037838317496006,1.1310442959026763e-07,0.18628125931437056,0.07383141783513439,0.15396503182082288
1,0.8932120191622676,0.015909744087403158,-0.12890544940297133,2.824776506305034e-07,0.296296601600388,0.537525916581172,0.0671973793989038
2,0.7106560342286069,-0.020261825622973698,0.27115453336001216,1.2309316023272167e-06,0.1350410998015555,0.1478557435922195,0.10687371031869475
3,0.8541239794973928,-0.019231178405648548,0.08419145489002447,1.6350631849413348e-08,0.12100141855076321,0.6146563402958485,0.2162696304549574
4,0.6368392225765169,0.024828118195333575,0.07816900017186362,1.1952287066593571e-05,0.08563530044357916,0.6858139565937849,0.473902680117365
5,0.6628574152296599,-0.003111538402702105,-0.060215631689275684,0.00018425983790372653,0.8644981238972693,0.8115209449391726,0.029811894340135203
6,0.5335594669556043,-0.03434520933224717,0.046529149959506355,1.3717131630962084e-07,0.0005709450608659481,0.6955807479470538,0.7255225831039441
7,0.7010068142445274,-0.02976330718579955,0.20829463881368526,8.758917037274689e-08,0.011983501688507583,0.17896185276839863,0.3545661747618374
8,0.8270123036902526,0.008255647931088267,0.12223610402873666,2.6719041837268034e-07,0.5533338375289347,0.5263582802416509,0.21741487573845086
9,0.43005653838536306,0.014455376384799757,0.3150803223426026,0.0002505624401250718,0.24279548037550414,0.07232959264509482,0.6319528647578323
10,1.0226301922641698,0.03174321347292308,-0.25509708472451265,1.0708854377638527e-08,0.03283279773858699,0.19900624793470087,0.2484072071030342
11,0.8756761903591025,-0.004364820631271051,0.11270021827620041,2.0180582429426983e-08,0.7273965816074786,0.5171291419873705,0.028897842639721394
12,0.8002787031746359,-0.008721650087357388,-0.08921587152958188,2.684841911068252e-07,0.5180039741573974,0.6321343202260685,0.1896205775835884
13,0.7697469408649329,-0.03090549255662239,0.0146090551873512,4.222734434431406e-08,0.01279573790753197,0.9268560697069248,0.5718278350010206
