repo_id,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared
0,0.4008838383838387,0.01893939393939393,-0.3522727272727276,0.0008050861346830886,0.14805393541825806,0.05659389994176798,0.1704888076747374
1,0.25270562770562766,-0.030719280719280775,0.28529803529803555,0.09885888026041662,0.10265009090392956,0.2651656777249869,0.13800060579721585
2,0.31235744542196175,0.024757500563952164,-0.3553337343659926,0.0028213812184809516,0.04091421707563853,0.034688177178133,0.20141381934487435
3,0.5660774410774413,-0.004079254079254148,0.03969178969178974,0.0010811170974894225,0.826600395297241,0.877602905587056,0.0025894792249937515
4,0.40285204991087353,-0.009666803784450891,-0.08988070752776633,0.002135786647488153,0.502320508632199,0.6513496040664642,0.18918581418581404
5,0.26780303030303027,0.004020979020978966,0.2100815850815854,0.048436401325196964,0.8006266814933158,0.3454359798869927,0.21435455393559033
6,0.41335227272727293,-0.008522727272727335,-0.09564393939393917,0.005268899866707006,0.6073433656106011,0.6766794401149694,0.1376213978665819
7,0.3544823232323233,0.01821095571095567,-0.12825369075369075,0.003402105412322574,0.1825401648022328,0.4908289453354313,0.12061111988278772
8,0.35338680926916244,-0.028589058000822752,0.1862059509118331,0.001519239113365524,0.025965930623825906,0.2723572180829825,0.3084587986640225
9,0.6525974025974031,0.0069930069930069574,-0.5752580752580756,8.142805928648093e-09,0.43177698567062606,0.00010511710439341944,0.7618694128036911
10,0.20622895622895618,-0.04662004662004668,0.3649961149961152,0.04126873375483732,0.0006567770067948304,0.0346078099734423,0.5092286534089561
11,0.27513774104683203,-0.018277177368086504,0.2723564314473405,0.03710441211532944,0.2427373710781702,0.20978600289070287,0.07489046855874104
12,0.3453856749311296,-0.0249523204068659,-0.05663276117821574,0.004808867489184474,0.07825992333772157,0.7645093616576496,0.46244476473484086
13,0.04517738359201766,-0.005244755244755261,0.1787907214736484,0.6468213405460477,0.6653612603085723,0.2922957312241171,0.09336348093907199
14,0.5239898989898993,0.012237762237762191,-0.11907536907536928,0.0004817290280708296,0.44226197687208557,0.5878247656293778,0.031350912084857185
15,0.24823232323232325,-0.012237762237762283,0.2857420357420358,0.04782859407794879,0.40912786142568924,0.1701324077220273,0.11116366432477043
16,-0.02598661028893602,-0.035900146365262675,0.4792513687862527,0.7817682427814415,0.004819072475777208,0.0062459457945538595,0.32927022565413233
17,0.5508207070707072,0.03132284382284377,-0.18837412587412583,4.2889184801496916e-05,0.027036693685596778,0.31355013431238044,0.32033853380261046
18,0.4493801652892565,0.002701843610934486,-0.1157554566645477,0.002673164019941022,0.8694571553355016,0.6120325693181149,0.026880249008448542
19,0.3963068181818183,-0.008741258741258806,0.2715617715617716,0.0007524225007704828,0.48782857890002473,0.127979922506557,0.17003313773718953
20,0.3377192982456142,0.025809716599190253,-0.12331309041835362,0.0014151665235154491,0.03301880580494591,0.4397598615570506,0.3418258296632667
21,0.16901154401154378,-0.014901764901764956,0.04786879786879836,0.0950201987951265,0.22394885346693386,0.7740936809366641,0.163816278596299
22,0.4469696969696972,-0.016171328671328727,0.15238927738927718,0.002149493164497494,0.3154642301624298,0.4916125158938779,0.05426248709830794
23,0.29903198653198665,0.021076146076146045,-0.016802641802641793,0.010685789954224438,0.12335802591889695,0.9272223200601992,0.30834961069517286
